virusCode	viralUniprotID	hostUniprotID	viralGeneName	viralProteinName
HPV16	P03129	Q13547	E7	Protein E7
HPV16	P03129	P06400	E7	Protein E7
HPV18	P06463	P42677	E6	Protein E6
HPV18	P06463	Q9NZM1	E6	Protein E6
HPV18	P06463	Q9Y230	E6	Protein E6
HPV18	P06788	P53621	E7	Protein E7
HPV18	P06788	P46778	E7	Protein E7
HPV18	P06792	O15031	E5	Probable protein E5
HPV18	P06792	P33527	E5	Probable protein E5
HPV18	P06792	P27824	E5	Probable protein E5
HPV18	P06792	P16070	E5	Probable protein E5
HPV16	P06927	Q03135	E5	Probable protein E5
HPV16	P06927	Q9H7F0	E5	Probable protein E5
HPV16	P06927	P53621	E5	Probable protein E5
HPV16	P06927	Q8IV08	E5	Probable protein E5
HPV16	P06927	Q15758	E5	Probable protein E5
HPV16	P03129	Q9UQ35	E7	Protein E7
HPV16	P03126	Q9NQC7	E6	Protein E6
HPV16	P03129	P29590	E7	Protein E7
HPV16	P03126	P38936	E6	Protein E6
HPV16	P03126	Q14160	E6	Protein E6
HPV18	P06463	P29597	E6	Protein E6
HPV16	P03129	P20248	E7	Protein E7
HPV16	P03129	P06493	E7	Protein E7
HPV18	P06463	P62333	E6	Protein E6
HPV18	P06463	O00487	E6	Protein E6
HPV18	P06463	P51665	E6	Protein E6
HPV18	P06463	P48556	E6	Protein E6
HPV18	P06463	P46939	E6	Protein E6
HPV18	P06463	Q9UNM6	E6	Protein E6
HPV18	P06463	Q15008	E6	Protein E6
HPV18	P06463	P10644	E6	Protein E6
HPV18	P06463	Q96QK1	E6	Protein E6
HPV18	P06792	P30101	E5	Probable protein E5
HPV18	P06792	P98194	E5	Probable protein E5
HPV16	P06927	P16070	E5	Probable protein E5
HPV16	P06927	P33527	E5	Probable protein E5
HPV16	P06927	P98194	E5	Probable protein E5
HPV16	P06927	P27824	E5	Probable protein E5
HPV16	P06927	P40429	E5	Probable protein E5
HPV18	P06788	P39023	E7	Protein E7
HPV18	P06788	P12004	E7	Protein E7
HPV16	P03126	O43166	E6	Protein E6
HPV16	P03126	P52292	E6	Protein E6
HPV16	P03126	Q13485	E6	Protein E6
HPV18	P06463	O14773	E6	Protein E6
HPV18	P06463	P07339	E6	Protein E6
HPV18	P06463	P38398	E6	Protein E6
HPV16	P03129	P38398	E7	Protein E7
HPV18	P06463	O95714	E6	Protein E6
HPV18	P06463	P30153	E6	Protein E6
HPV18	P06463	P28070	E6	Protein E6
HPV18	P06463	P62191	E6	Protein E6
HPV18	P06463	P35998	E6	Protein E6
HPV18	P06463	P17980	E6	Protein E6
HPV18	P06463	P43686	E6	Protein E6
HPV18	P06463	P62195	E6	Protein E6
HPV18	P06463	O43242	E6	Protein E6
HPV18	P06463	O00231	E6	Protein E6
HPV18	P06463	P30101	E6	Protein E6
HPV18	P06788	Q15369	E7	Protein E7
HPV16	P06927	P30101	E5	Probable protein E5
HPV16	P03129	P12004	E7	Protein E7
HPV16	P03129	P35998	E7	Protein E7
HPV16	P03129	Q15370	E7	Protein E7
HPV16	P03129	P39023	E7	Protein E7
HPV16	P03129	O60814	E7	Protein E7
HPV18	P06788	P20618	E7	Protein E7
HPV18	P06463	P20618	E6	Protein E6
HPV18	P06463	P28074	E6	Protein E6
