virusCode	viralUniprotID	hostUniprotID	viralGeneName	viralProteinName
EBVB9	P12978	Q06330	EBNA2	Epstein-Barr nuclear antigen 2
EBVB9	P03203	Q06330	EBNA4	Epstein-Barr nuclear antigen 4
EBVB9	P12977	Q06330	EBNA3	Epstein-Barr nuclear antigen 3
EBVB9	P03204	Q06330	EBNA6	Epstein-Barr nuclear antigen 6
EBVB9	P03230	Q92985-1	LMP1	Latent membrane protein 1
EBVB9	Q8AZK7	O75323	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q15773	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9HAV7	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O60812	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O95816	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	O60831	TK	Thymidine kinase
EBVB9	P03230	Q9UI14	LMP1	Latent membrane protein 1
EBVB9	Q8AZK7	O75953	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q14257	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9BPW8	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P05165	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q7Z4N8	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q86UA1	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O00165	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P05166	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q5W0B1	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	Q9Y305	TK	Thymidine kinase
EBVB9	P03177	Q16527	TK	Thymidine kinase
EBVB9	Q8AZK7	Q92522	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q13151	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q3ZCQ8	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O76031	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9ULX6	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	Q8TED1	LMP2	Latent membrane protein 2
EBVB9	P13285	O60831	LMP2	Latent membrane protein 2
EBVB9	P13285	Q9P0P0	LMP2	Latent membrane protein 2
EBVB9	Q8AZK7	Q8N726	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9UDY4	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9Y2G8	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	Q9NXH8	TK	Thymidine kinase
EBVB9	P03177	Q9UJ70	TK	Thymidine kinase
EBVB9	P03177	P35080	TK	Thymidine kinase
EBVB9	P03177	O75688	TK	Thymidine kinase
EBVB9	Q8AZK7	Q92616	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P12236	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q99729	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q15293	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	Q8NC54	LMP2	Latent membrane protein 2
EBVB9	Q8AZK7	Q9UL15	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9UJY1	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P28300	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	P62699	TK	Thymidine kinase
EBVB9	P03177	P47756	TK	Thymidine kinase
EBVB9	P03177	O00483	TK	Thymidine kinase
EBVB9	P03177	Q9Y5M8	TK	Thymidine kinase
EBVB9	P03230	Q15628	LMP1	Latent membrane protein 1
EBVB9	Q8AZK7	P40938	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P47897	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P26599	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q04837	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O75190	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O15460	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O43592	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	Q8IZ07	LMP2	Latent membrane protein 2
EBVB9	P13285	Q8NBM4	LMP2	Latent membrane protein 2
EBVB9	P13285	Q9BQB6	LMP2	Latent membrane protein 2
EBVB9	Q8AZK7	Q9Y6N5	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	Q9NR12	TK	Thymidine kinase
EBVB9	P03177	Q9Y6N5	TK	Thymidine kinase
EBVB9	P03177	Q15629	TK	Thymidine kinase
EBVB9	Q8AZK7	P56524	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P12978	Q15326	EBNA2	Epstein-Barr nuclear antigen 2
EBVB9	Q8AZK7	P00367	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q07955	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P08107	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P08579	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q01105	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P52907	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O43390	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	Q9H5V8	LMP2	Latent membrane protein 2
EBVB9	P13285	Q15012	LMP2	Latent membrane protein 2
EBVB9	P13285	O15260	LMP2	Latent membrane protein 2
EBVB9	P13285	Q8TF42	LMP2	Latent membrane protein 2
EBVB9	P03211	P27352	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	P50402	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03230	Q9UKE5	LMP1	Latent membrane protein 1
EBVB9	P03230	Q9NYJ8	LMP1	Latent membrane protein 1
EBVB9	P03177	P50402	TK	Thymidine kinase
EBVB9	P03177	P82650	TK	Thymidine kinase
EBVB9	P03177	Q9Y6C9	TK	Thymidine kinase
EBVB9	P03177	Q6UB35	TK	Thymidine kinase
EBVB9	P03204	Q9Y676	EBNA6	Epstein-Barr nuclear antigen 6
EBVB9	P12978	P56524	EBNA2	Epstein-Barr nuclear antigen 2
EBVB9	P03230	Q15326	LMP1	Latent membrane protein 1
EBVB9	P03230	P08962	LMP1	Latent membrane protein 1
EBVB9	P03230	P08107	LMP1	Latent membrane protein 1
EBVB9	Q8AZK7	P30050	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P25685	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P14868	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P27635	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q8NC51	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q92841	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q14103	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O76021	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9Y5V3	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	O60494	LMP2	Latent membrane protein 2
EBVB9	P13285	P50402	LMP2	Latent membrane protein 2
EBVB9	P13285	Q96CS3	LMP2	Latent membrane protein 2
EBVB9	P13285	P61289	LMP2	Latent membrane protein 2
EBVB9	P13285	O95456	LMP2	Latent membrane protein 2
EBVB9	P13285	Q9H0E2	LMP2	Latent membrane protein 2
EBVB9	P13285	Q5JTV8	LMP2	Latent membrane protein 2
EBVB9	Q8AZK7	O95817	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P13674	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	P51911	TK	Thymidine kinase
EBVB9	P03177	Q00341	TK	Thymidine kinase
EBVB9	P03177	Q8IY17	TK	Thymidine kinase
EBVB9	P03177	Q96B97	TK	Thymidine kinase
EBVB9	P03177	Q9H270	TK	Thymidine kinase
EBVB9	Q8AZK7	P61981	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	P08107	LMP2	Latent membrane protein 2
EBVB9	P03211	P52294	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q13416	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P12977	P35869	EBNA3	Epstein-Barr nuclear antigen 3
EBVB9	Q8AZK7	Q15366	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q07666	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P55735	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q13576	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	P30530	LMP2	Latent membrane protein 2
EBVB9	P13285	Q06323	LMP2	Latent membrane protein 2
EBVB9	P13285	O60493	LMP2	Latent membrane protein 2
EBVB9	P13285	Q9H0M0	LMP2	Latent membrane protein 2
EBVB9	P03211	Q9Y4F1	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q9Y6M1	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	O60684	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q3KQU3	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q8IYB3	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	O75165	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P34932	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q63ZY3	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q8N163	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q32P28	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	Q63ZY3	TK	Thymidine kinase
EBVB9	P03230	O14920	LMP1	Latent membrane protein 1
EBVB9	P03211	P19784	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q15554	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	Q9BQA1	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q13435	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P52272	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P04792	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O15027	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P23246	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q8N1F7	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P55884	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P55060	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O60506	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P62316	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	Q9GZU8	LMP2	Latent membrane protein 2
EBVB9	P13285	Q7Z4F1	LMP2	Latent membrane protein 2
EBVB9	P13285	Q96N66	LMP2	Latent membrane protein 2
EBVB9	P13285	P28065	LMP2	Latent membrane protein 2
EBVB9	P13285	Q9UL46	LMP2	Latent membrane protein 2
EBVB9	P13285	O15269	LMP2	Latent membrane protein 2
EBVB9	P03211	O60565	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P52926	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q5SSJ5	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q9NZI8	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	O00425	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q9NUQ6	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q96SB4	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P78362	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03230	Q13114	LMP1	Latent membrane protein 1
EBVB9	P03230	O43318	LMP1	Latent membrane protein 1
EBVB9	P03177	O00203	TK	Thymidine kinase
EBVB9	P03204	P01106	EBNA6	Epstein-Barr nuclear antigen 6
EBVB9	Q8AZK7	Q92878	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9Y265	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P61978	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P07195	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P35268	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q12906	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q15233	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P41252	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	P09619	LMP2	Latent membrane protein 2
EBVB9	P13285	P28062	LMP2	Latent membrane protein 2
EBVB9	P13285	Q14997	LMP2	Latent membrane protein 2
EBVB9	P13285	Q16739	LMP2	Latent membrane protein 2
EBVB9	P03211	O76021	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q8N474	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	P38936	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9UNE7	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	Q12797	TK	Thymidine kinase
EBVB9	P03177	P16615	TK	Thymidine kinase
EBVB9	P03177	O60716	TK	Thymidine kinase
EBVB9	P03177	Q9UQ35	TK	Thymidine kinase
EBVB9	Q8AZK7	Q9Y230	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P42704	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P68363	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P09012	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q07020	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	P46934	LMP2	Latent membrane protein 2
EBVB9	P13285	Q99623	LMP2	Latent membrane protein 2
EBVB9	P13285	P55036	LMP2	Latent membrane protein 2
EBVB9	P13285	P37173	LMP2	Latent membrane protein 2
EBVB9	P03211	O95793	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	Q9UQ35	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	P27816	TK	Thymidine kinase
EBVB9	P03177	Q9NQC3	TK	Thymidine kinase
EBVB9	P03211	Q07021	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03230	P63279	LMP1	Latent membrane protein 1
EBVB9	Q8AZK7	P19338	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q14315	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P62899	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P06493	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O95071	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P32969	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P16402	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	P16615	LMP2	Latent membrane protein 2
EBVB9	P13285	P11279	LMP2	Latent membrane protein 2
EBVB9	P13285	Q9UQ35	LMP2	Latent membrane protein 2
EBVB9	P03211	P67870	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q99873	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q6NZI2	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P62891	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	P10909	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9NZM1	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03231	P06756	gH	Envelope glycoprotein H
EBVB9	P03177	P42704	TK	Thymidine kinase
EBVB9	P03177	Q9NZM1	TK	Thymidine kinase
EBVB9	P03177	Q7KZF4	TK	Thymidine kinase
EBVB9	P03177	Q93008	TK	Thymidine kinase
EBVB9	Q8AZK7	P62266	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P28072	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P07437	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P09651	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P62249	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P07814	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P62829	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P17844	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P18621	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P62241	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	Q9NZM1	LMP2	Latent membrane protein 2
EBVB9	P13285	Q96PU5	LMP2	Latent membrane protein 2
EBVB9	P03211	P61513	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	P23497	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	O95071	TK	Thymidine kinase
EBVB9	P03211	Q93009	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	P62269	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P18124	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P15880	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P08708	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P35998	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P62277	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q08211	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	Q96J02	LMP2	Latent membrane protein 2
EBVB9	P13285	P16070	LMP2	Latent membrane protein 2
EBVB9	P13285	O15031	LMP2	Latent membrane protein 2
EBVB9	P13285	P28072	LMP2	Latent membrane protein 2
EBVB9	P13285	P35998	LMP2	Latent membrane protein 2
EBVB9	P13285	P62333	LMP2	Latent membrane protein 2
EBVB9	P13285	O00487	LMP2	Latent membrane protein 2
EBVB9	P13285	Q15008	LMP2	Latent membrane protein 2
EBVB9	P13285	P51665	LMP2	Latent membrane protein 2
EBVB9	P13285	P48556	LMP2	Latent membrane protein 2
EBVB9	P13285	O00308	LMP2	Latent membrane protein 2
EBVB9	P03211	Q02809	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P46778	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P62899	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P49207	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P42766	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	Q92900	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	P07237	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P12004	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P40429	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	P40429	TK	Thymidine kinase
EBVB9	Q8AZK7	P27708	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P26373	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O75533	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P62424	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P61247	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P62917	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P62753	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q00839	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P22626	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P46781	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P13010	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	P98194	LMP2	Latent membrane protein 2
EBVB9	P13285	P25788	LMP2	Latent membrane protein 2
EBVB9	P13285	P60900	LMP2	Latent membrane protein 2
EBVB9	P13285	O14818	LMP2	Latent membrane protein 2
EBVB9	P13285	P49721	LMP2	Latent membrane protein 2
EBVB9	P13285	P49720	LMP2	Latent membrane protein 2
EBVB9	P13285	P28070	LMP2	Latent membrane protein 2
EBVB9	P13285	P28074	LMP2	Latent membrane protein 2
EBVB9	P13285	Q99436	LMP2	Latent membrane protein 2
EBVB9	P13285	P62191	LMP2	Latent membrane protein 2
EBVB9	P13285	P17980	LMP2	Latent membrane protein 2
EBVB9	P13285	P43686	LMP2	Latent membrane protein 2
EBVB9	P13285	P62195	LMP2	Latent membrane protein 2
EBVB9	P13285	O43242	LMP2	Latent membrane protein 2
EBVB9	P03211	P40429	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P46779	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P39023	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P62847	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	Q13200	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P62807	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	Q14517	LMP2	Latent membrane protein 2
EBVB9	P13285	P25786	LMP2	Latent membrane protein 2
EBVB9	P13285	P25787	LMP2	Latent membrane protein 2
EBVB9	P13285	P25789	LMP2	Latent membrane protein 2
EBVB9	P13285	P28066	LMP2	Latent membrane protein 2
EBVB9	P13285	P20618	LMP2	Latent membrane protein 2
EBVB9	P13285	Q99460	LMP2	Latent membrane protein 2
EBVB9	P03211	P62277	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03211	P62081	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	P03177	P07858	TK	Thymidine kinase
EBVB9	Q8AZK7	O75643	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03211	P68400	EBNA1	Epstein-Barr nuclear antigen 1
EBVB9	Q8AZK7	P11021	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q00610	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P10809	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q6P2Q9	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P11142	EBNA-LP	Epstein-Barr nuclear antigen leader protein
HBV	Q784Z8	Q9GZX7	C	Capsid protein
HBV	Q784Z8	P31941	C	Capsid protein
HBV	Q778I9	Q9H668	C	Capsid protein
HBV	Q778I9	P13987	C	Capsid protein
HBV	Q784Z8	Q9HC16	C	Capsid protein
HBV	Q778I9	P09493	C	Capsid protein
HBV	Q9QMH9	Q16531	X	Protein X
HBV	Q4AE16	Q13309	X	Protein X
HBV	Q9QMH9	Q13619	X	Protein X
HPV18	P06463	Q05086	E6	Protein E6
HPV16	P03126	Q05086	E6	Protein E6
HPV18	P06792	Q53FP2	E5	Probable protein E5
HPV18	P06792	Q5RI15	E5	Probable protein E5
HPV16	P03120	O60885-1	E2	Regulatory protein E2
HPV18	P06789	Q12824-1	E1	Replication protein E1
HPV18	P06792	O60831	E5	Probable protein E5
HPV18	P06792	Q9BVG9	E5	Probable protein E5
HPV18	P06792	Q5HYI8	E5	Probable protein E5
HPV18	P06792	Q9H061	E5	Probable protein E5
HPV18	P06792	Q8WZ71	E5	Probable protein E5
HPV18	P06792	Q7Z7N9	E5	Probable protein E5
HPV18	P06792	Q6ZT21	E5	Probable protein E5
HPV18	P06792	Q8WUY1	E5	Probable protein E5
HPV18	P06792	Q9UBU6	E5	Probable protein E5
HPV18	P06792	Q14439	E5	Probable protein E5
HPV18	P06792	Q567V2	E5	Probable protein E5
HPV18	P06792	P84157	E5	Probable protein E5
HPV18	P06792	Q9BWM7	E5	Probable protein E5
HPV18	P06792	Q96K37	E5	Probable protein E5
HPV18	P06792	Q9BVC6	E5	Probable protein E5
HPV18	P06792	Q9NVA4	E5	Probable protein E5
HPV18	P06792	Q8N4L2	E5	Probable protein E5
HPV18	P06792	Q96SL1	E5	Probable protein E5
HPV18	P06792	Q8TED1	E5	Probable protein E5
HPV18	P06792	Q96AM1	E5	Probable protein E5
HPV18	P06792	Q9NRP0	E5	Probable protein E5
HPV16	P06927	Q9UBU6	E5	Probable protein E5
HPV16	P06927	O60831	E5	Probable protein E5
HPV18	P06792	Q9HCU5	E5	Probable protein E5
HPV18	P06792	P53801	E5	Probable protein E5
HPV18	P06792	Q96AA3	E5	Probable protein E5
HPV18	P06792	Q969E2	E5	Probable protein E5
HPV18	P06792	O15374	E5	Probable protein E5
HPV18	P06792	Q6PML9	E5	Probable protein E5
HPV18	P06792	Q8NHG7	E5	Probable protein E5
HPV18	P06792	O43759	E5	Probable protein E5
HPV18	P06792	Q9Y4P3	E5	Probable protein E5
HPV18	P06792	P21731	E5	Probable protein E5
HPV18	P06792	O15321	E5	Probable protein E5
HPV18	P06792	Q9BXJ8	E5	Probable protein E5
HPV18	P06792	Q6UW68	E5	Probable protein E5
HPV18	P06792	Q8NBM4	E5	Probable protein E5
HPV18	P06792	Q9HBM0	E5	Probable protein E5
HPV18	P06792	Q9H2C2	E5	Probable protein E5
HPV18	P06792	P30411	E5	Probable protein E5
HPV18	P06792	Q8NC54	E5	Probable protein E5
HPV18	P06792	O14735	E5	Probable protein E5
HPV18	P06792	Q9NXW2	E5	Probable protein E5
