?hostProtein	?hostProteinName	?pathway	?pathwayName
<http://localhost:8080/source/O60716>	"Catenin delta-1"	<path:hsa04068>	"Phagosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Alzheimer disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Cellular senescence - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Diabetic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Nucleocytoplasmic transport - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Cell cycle - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Oocyte meiosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Ubiquitin mediated proteolysis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Pancreatic cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Chronic myeloid leukemia - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Colorectal cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Hepatocellular carcinoma - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Gastric cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Gap junction - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"p53 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"@en	<path:hsa04110>	"Progesterone-mediated oocyte maturation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Alzheimer disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Cellular senescence - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Diabetic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Nucleocytoplasmic transport - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Cell cycle - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Oocyte meiosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Ubiquitin mediated proteolysis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Pancreatic cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Chronic myeloid leukemia - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Colorectal cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Hepatocellular carcinoma - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Gastric cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Gap junction - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"p53 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9NQC3>	"Reticulon-4"	<path:hsa04110>	"Progesterone-mediated oocyte maturation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"@en	<path:hsa04137>	"Spinocerebellar ataxia - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"@en	<path:hsa04137>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"@en	<path:hsa04137>	"Amyotrophic lateral sclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"@en	<path:hsa04137>	"Huntington disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"@en	<path:hsa04137>	"Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"@en	<path:hsa04137>	"Alzheimer disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"@en	<path:hsa04137>	"Parkinson disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"@en	<path:hsa04137>	"Prion disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"@en	<path:hsa04137>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"@en	<path:hsa04137>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"	<path:hsa04137>	"Spinocerebellar ataxia - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"	<path:hsa04137>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"	<path:hsa04137>	"Amyotrophic lateral sclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"	<path:hsa04137>	"Huntington disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"	<path:hsa04137>	"Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"	<path:hsa04137>	"Alzheimer disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"	<path:hsa04137>	"Parkinson disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"	<path:hsa04137>	"Prion disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"	<path:hsa04137>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/Q7KZF4>	"Staphylococcal nuclease domain-containing protein 1"	<path:hsa04137>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Prion disease - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Apoptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Autophagy - animal - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Wnt signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Mitophagy - animal - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Ribosome biogenesis in eukaryotes - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"@en	<path:hsa04530>	"Renin secretion - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Prion disease - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Apoptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Autophagy - animal - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Wnt signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Mitophagy - animal - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Ribosome biogenesis in eukaryotes - Homo sapiens (human)"@en
<http://localhost:8080/source/P07858>	"Cathepsin B"	<path:hsa04530>	"Renin secretion - Homo sapiens (human)"@en
<http://localhost:8080/source/Q8TED1>	"Probable glutathione peroxidase 8"@en	<path:hsa00240>	"Amyotrophic lateral sclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q8TED1>	"Probable glutathione peroxidase 8"@en	<path:hsa00240>	"Thyroid hormone synthesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q8TED1>	"Probable glutathione peroxidase 8"	<path:hsa00240>	"Amyotrophic lateral sclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q8TED1>	"Probable glutathione peroxidase 8"	<path:hsa00240>	"Thyroid hormone synthesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q8TED1>	"Probable glutathione peroxidase 8"@en	<path:hsa00250>	"Huntington disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q8TED1>	"Probable glutathione peroxidase 8"@en	<path:hsa00250>	"Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)"@en
<http://localhost:8080/source/Q8TED1>	"Probable glutathione peroxidase 8"	<path:hsa00250>	"Huntington disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q8TED1>	"Probable glutathione peroxidase 8"	<path:hsa00250>	"Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9BQB6>	"Vitamin K epoxide reductase complex subunit 1"@en	<path:hsa01040>	"Sulfur metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9BQB6>	"Vitamin K epoxide reductase complex subunit 1"@en	<path:hsa01040>	"Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9BQB6>	"Vitamin K epoxide reductase complex subunit 1"	<path:hsa01040>	"Sulfur metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9BQB6>	"Vitamin K epoxide reductase complex subunit 1"	<path:hsa01040>	"Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"@en	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15012>	"Lysosomal-associated transmembrane protein 4A"	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/O60494>	"Cubilin"@en	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/O60494>	"Cubilin"@en	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/O60494>	"Cubilin"@en	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/O60494>	"Cubilin"@en	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
